unidade,bloco,vencimento,nosso_numero,debitar_taxa_bancária,data_de_competência,atualização_monetária,taxa_de_juros_(%),taxa_de_multa_(%),taxa_de_desconto_(%),cobrança_extraordinária,data_crédito,forma_de_cobrança,data_liquidação,valor_pago,[RECEITA_APROPRIACAO][0][conta_categoria],[RECEITA_APROPRIACAO][0][complemento],[RECEITA_APROPRIACAO][0][valor],[RECEITA_APROPRIACAO][1][conta_categoria],[RECEITA_APROPRIACAO][1][complemento],[RECEITA_APROPRIACAO][1][valor],[RECEITA_APROPRIACAO][2][conta_categoria],[RECEITA_APROPRIACAO][2][complemento],[RECEITA_APROPRIACAO][2][valor],[RECEITA_APROPRIACAO][3][conta_categoria],[RECEITA_APROPRIACAO][3][complemento],[RECEITA_APROPRIACAO][3][valor],[RECEITA_APROPRIACAO][4][conta_categoria],[RECEITA_APROPRIACAO][4][complemento],[RECEITA_APROPRIACAO][4][valor],[RECEITA_APROPRIACAO][5][conta_categoria],[RECEITA_APROPRIACAO][5][complemento],[RECEITA_APROPRIACAO][5][valor],[RECEITA_APROPRIACAO][6][conta_categoria],[RECEITA_APROPRIACAO][6][complemento],[RECEITA_APROPRIACAO][6][valor],[RECEITA_APROPRIACAO][7][conta_categoria],[RECEITA_APROPRIACAO][7][complemento],[RECEITA_APROPRIACAO][7][valor],[RECEITA_APROPRIACAO][8][conta_categoria],[RECEITA_APROPRIACAO][8][complemento],[RECEITA_APROPRIACAO][8][valor],[RECEITA_APROPRIACAO][9][conta_categoria],[RECEITA_APROPRIACAO][9][complemento],[RECEITA_APROPRIACAO][9][valor],[RECEITA_APROPRIACAO][10][conta_categoria],[RECEITA_APROPRIACAO][10][complemento],[RECEITA_APROPRIACAO][10][valor],[RECEITA_APROPRIACAO][11][conta_categoria],[RECEITA_APROPRIACAO][11][complemento],[RECEITA_APROPRIACAO][11][valor],[RECEITA_APROPRIACAO][12][conta_categoria],[RECEITA_APROPRIACAO][12][complemento],[RECEITA_APROPRIACAO][12][valor],[RECEITA_APROPRIACAO][13][conta_categoria],[RECEITA_APROPRIACAO][13][complemento],[RECEITA_APROPRIACAO][13][valor],[RECEITA_APROPRIACAO][14][conta_categoria],[RECEITA_APROPRIACAO][14][complemento],[RECEITA_APROPRIACAO][14][valor],[RECEITA_APROPRIACAO][15][conta_categoria],[RECEITA_APROPRIACAO][15][complemento],[RECEITA_APROPRIACAO][15][valor],[RECEITA_APROPRIACAO][16][conta_categoria],[RECEITA_APROPRIACAO][16][complemento],[RECEITA_APROPRIACAO][16][valor],[RECEITA_APROPRIACAO][17][conta_categoria],[RECEITA_APROPRIACAO][17][complemento],[RECEITA_APROPRIACAO][17][valor]
01,,22/07/2019,484320,,,,,,,,,,,,1.1,,192.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,,20/08/2019,530550,,,,,,,,,,,,1.1,,192.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,,20/09/2019,581270,,,,,,,,,,,,1.1,,192.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02,,20/09/2019,581280,,,,,,,,,,,,1.1,,192.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,,20/09/2019,581310,,,,,,,,,,,,1.1,,187.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,20/09/2019,581340,,,,,,,,,,,,1.1,,192.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,22/07/2019,484420,,,,,,,,,,,,1.1,,187.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,20/08/2019,530650,,,,,,,,,,,,1.1,,187.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,20/09/2019,581370,,,,,,,,,,,,1.1,,187.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,20/09/2019,581420,,,,,,,,,,,,1.1,,158.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,20/08/2019,530710,,,,,,,,,,,,1.1,,187.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,20/09/2019,581430,,,,,,,,,,,,1.1,,187.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,